Time,meter value,inside temp (*C), outside temp (*C)
11:10,252.47,21.3,4.8
11:20,252.47,21.2,4.9
11:30,252.474,21.1,5
11:40,252.474,21.1,5.4
11:50,252.474,21,5.8
12:00,252.474,20.9,5.7
12:10,252.474,20.8,6
12:20,252.474,20.7,6.2
12:30,252.474,20.6,6.6
12:40,252.474,20.5,6.8
12:50,252.474,20.4,7
13:00,252.478,20.4,6.9
13:10,252.478,20.4,7.1
13:20,252.478,20.3,7
13:30,252.483,20.3,6.4
13:40,252.483,20.3,5.9
13:50,252.483,20.3,5.8
14:00,252.487,20.3,5.7
14:10,252.487,20.4,5.5
14:20,252.487,20.4,5.4
